,100_1_goldEarned,100_1_avr_kill,100_1_avr_death,100_1_avr_assists,100_1_avr_trueDamageDealtToChampions,100_1_avr_damageDealtToTurrets,100_1_avr_goldSpent,100_1_avr_visionScore,100_1_avr_physicalDamageDealt,100_1_avr_totalHeal,100_1_avr_champLevel,100_2_goldEarned,100_2_avr_kill,100_2_avr_death,100_2_avr_assists,100_2_avr_trueDamageDealtToChampions,100_2_avr_damageDealtToTurrets,100_2_avr_goldSpent,100_2_avr_visionScore,100_2_avr_physicalDamageDealt,100_2_avr_totalHeal,100_2_avr_champLevel,100_3_goldEarned,100_3_avr_kill,100_3_avr_death,100_3_avr_assists,100_3_avr_trueDamageDealtToChampions,100_3_avr_damageDealtToTurrets,100_3_avr_goldSpent,100_3_avr_visionScore,100_3_avr_physicalDamageDealt,100_3_avr_totalHeal,100_3_avr_champLevel,100_4_goldEarned,100_4_avr_kill,100_4_avr_death,100_4_avr_assists,100_4_avr_trueDamageDealtToChampions,100_4_avr_damageDealtToTurrets,100_4_avr_goldSpent,100_4_avr_visionScore,100_4_avr_physicalDamageDealt,100_4_avr_totalHeal,100_4_avr_champLevel,100_5_goldEarned,100_5_avr_kill,100_5_avr_death,100_5_avr_assists,100_5_avr_trueDamageDealtToChampions,100_5_avr_damageDealtToTurrets,100_5_avr_goldSpent,100_5_avr_visionScore,100_5_avr_physicalDamageDealt,100_5_avr_totalHeal,100_5_avr_champLevel,200_6_goldEarned,200_6_avr_kill,200_6_avr_death,200_6_avr_assists,200_6_avr_trueDamageDealtToChampions,200_6_avr_damageDealtToTurrets,200_6_avr_goldSpent,200_6_avr_visionScore,200_6_avr_physicalDamageDealt,200_6_avr_totalHeal,200_6_avr_champLevel,200_7_goldEarned,200_7_avr_kill,200_7_avr_death,200_7_avr_assists,200_7_avr_trueDamageDealtToChampions,200_7_avr_damageDealtToTurrets,200_7_avr_goldSpent,200_7_avr_visionScore,200_7_avr_physicalDamageDealt,200_7_avr_totalHeal,200_7_avr_champLevel,200_8_goldEarned,200_8_avr_kill,200_8_avr_death,200_8_avr_assists,200_8_avr_trueDamageDealtToChampions,200_8_avr_damageDealtToTurrets,200_8_avr_goldSpent,200_8_avr_visionScore,200_8_avr_physicalDamageDealt,200_8_avr_totalHeal,200_8_avr_champLevel,200_9_goldEarned,200_9_avr_kill,200_9_avr_death,200_9_avr_assists,200_9_avr_trueDamageDealtToChampions,200_9_avr_damageDealtToTurrets,200_9_avr_goldSpent,200_9_avr_visionScore,200_9_avr_physicalDamageDealt,200_9_avr_totalHeal,200_9_avr_champLevel,200_10_goldEarned,200_10_avr_kill,200_10_avr_death,200_10_avr_assists,200_10_avr_trueDamageDealtToChampions,200_10_avr_damageDealtToTurrets,200_10_avr_goldSpent,200_10_avr_visionScore,200_10_avr_physicalDamageDealt,200_10_avr_totalHeal,200_10_avr_champLevel,win
0,10263.0,8.25,4.5,18.5,630.0,2260.5,9315.0,10.5,10.5,4893.5,13.25,10485.222222222223,6.222222222222222,4.666666666666667,10.666666666666666,906.2222222222222,2791.4444444444443,9409.444444444445,21.11111111111111,21.11111111111111,4666.222222222223,12.777777777777779,9543.444444444445,5.444444444444445,5.444444444444445,9.333333333333334,628.0,1680.0,8850.0,21.555555555555557,21.555555555555557,4115.555555555556,13.222222222222221,9230.367576243982,4.932584269662922,6.276083467094703,12.441412520064205,1249.8459069020867,1823.3820224719102,8539.426966292134,49.99197431781702,49.99197431781702,4581.121990369182,12.36597110754414,9344.6,5.8,2.8,10.2,1181.4,3735.4,8760.0,21.4,21.4,3763.0,12.6,5286.0,2.0,17.0,4.0,0.0,0.0,3800.0,5.0,5.0,2206.0,9.0,7077.0,4.0,12.0,1.0,444.0,0.0,5750.0,4.0,4.0,38.0,9.0,3728.0,0.0,14.0,5.0,0.0,0.0,2500.0,8.0,8.0,3101.0,8.0,4719.0,1.0,14.0,1.0,928.0,0.0,4450.0,9.0,9.0,3280.0,9.0,7414.0,4.0,10.0,1.0,100.0,763.0,6750.0,4.0,4.0,2646.0,10.0,0.0
1,3381.0,1.0,5.0,0.0,0.0,0.0,1720.0,4.0,4.0,370.0,6.0,6641.0,3.0,10.0,2.0,428.0,0.0,6000.0,15.0,15.0,2431.0,10.0,3596.0,0.0,7.0,1.0,260.0,0.0,2485.0,4.0,4.0,281.0,8.0,5758.0,2.0,15.0,3.0,48.0,0.0,5900.0,8.0,8.0,0.0,10.0,7956.0,4.0,10.0,1.0,1230.0,0.0,8225.0,10.0,10.0,2832.0,11.0,10263.0,8.25,4.5,18.5,630.0,2260.5,9315.0,10.5,10.5,4893.5,13.25,10485.222222222223,6.222222222222222,4.666666666666667,10.666666666666666,906.2222222222222,2791.4444444444443,9409.444444444445,21.11111111111111,21.11111111111111,4666.222222222223,12.777777777777779,9543.444444444445,5.444444444444445,5.444444444444445,9.333333333333334,628.0,1680.0,8850.0,21.555555555555557,21.555555555555557,4115.555555555556,13.222222222222221,9230.367576243982,4.932584269662922,6.276083467094703,12.441412520064205,1249.8459069020867,1823.3820224719102,8539.426966292134,49.99197431781702,49.99197431781702,4581.121990369182,12.36597110754414,9344.6,5.8,2.8,10.2,1181.4,3735.4,8760.0,21.4,21.4,3763.0,12.6,1.0
2,9230.367576243982,4.932584269662922,6.276083467094703,12.441412520064205,1249.8459069020867,1823.3820224719102,8539.426966292134,49.99197431781702,49.99197431781702,4581.121990369182,12.36597110754414,11101.0,4.571428571428571,5.142857142857143,7.571428571428571,1673.857142857143,5438.428571428572,10204.285714285714,27.428571428571427,27.428571428571427,4941.285714285715,13.285714285714286,15299.0,3.0,9.0,14.0,13366.0,4321.0,15710.0,53.0,53.0,4498.0,17.0,13754.666666666666,11.666666666666666,5.0,7.0,1118.3333333333333,4815.333333333333,12587.5,25.666666666666668,25.666666666666668,3902.1666666666665,15.833333333333334,20068.0,18.0,7.0,8.0,13788.0,10756.0,16600.0,17.0,17.0,22368.0,18.0,15039.0,10.0,12.0,15.0,4350.0,780.0,13975.0,24.0,24.0,11456.0,17.0,14317.0,9.0,7.0,3.0,353.0,4464.0,13283.0,29.5,29.5,5101.0,17.0,8541.2,2.4,7.0,17.4,1361.8,374.4,8640.0,69.2,69.2,3204.6,13.2,10024.666666666666,4.666666666666667,5.333333333333333,12.166666666666666,1038.6666666666667,347.1666666666667,8891.666666666666,26.166666666666668,26.166666666666668,36679.166666666664,14.0,12772.0,6.75,7.75,10.0,435.75,2731.0,11335.0,23.5,23.5,3955.75,15.75,1.0
3,6279.0,1.3333333333333333,4.666666666666667,9.666666666666666,561.3333333333334,103.66666666666667,5870.0,46.333333333333336,46.333333333333336,1322.0,12.0,11271.0,6.166666666666667,3.6666666666666665,6.666666666666667,260.6666666666667,2592.1666666666665,10754.166666666666,20.833333333333332,20.833333333333332,2491.0,14.666666666666666,13486.0,7.0,3.0,4.0,228.0,1508.0,13075.0,19.0,19.0,3630.0,15.0,11798.0,7.0,7.0,10.0,1032.0,0.0,11100.0,34.0,34.0,11199.0,15.0,9850.5,5.25,6.0,2.25,483.0,1432.5,8943.75,11.0,11.0,6103.75,13.5,9230.367576243982,4.932584269662922,6.276083467094703,12.441412520064205,1249.8459069020867,1823.3820224719102,8539.426966292134,49.99197431781702,49.99197431781702,4581.121990369182,12.36597110754414,12242.444444444445,9.222222222222221,4.777777777777778,10.444444444444445,2228.3333333333335,2057.6666666666665,10938.888888888889,23.444444444444443,23.444444444444443,10828.888888888889,14.222222222222221,14013.25,8.25,5.0,5.75,2363.75,7579.75,12294.5,22.5,22.5,11126.0,16.5,12103.0,5.0,5.0,2.0,1487.0,894.0,11525.0,23.0,23.0,4440.0,15.0,12439.666666666666,8.0,3.0,5.666666666666667,1511.3333333333333,4542.333333333333,11441.666666666666,18.333333333333332,18.333333333333332,4486.0,13.666666666666666,0.0
4,13280.0,15.0,9.0,21.0,866.0,345.0,11500.0,0.0,0.0,3086.0,17.0,10263.0,8.25,4.5,18.5,630.0,2260.5,9315.0,10.5,10.5,4893.5,13.25,9230.367576243982,4.932584269662922,6.276083467094703,12.441412520064205,1249.8459069020867,1823.3820224719102,8539.426966292134,49.99197431781702,49.99197431781702,4581.121990369182,12.36597110754414,13166.0,9.0,6.0,33.0,1138.0,1447.0,11950.0,0.0,0.0,711.0,18.0,14060.0,16.0,6.0,24.0,752.0,3262.0,12925.0,0.0,0.0,2100.0,17.0,10132.0,1.0,12.0,30.0,0.0,411.0,9850.0,0.0,0.0,803.0,17.0,13922.0,15.0,11.0,12.0,773.0,572.0,13800.0,0.0,0.0,853.0,16.0,13237.0,12.0,12.0,19.0,1215.0,524.0,12650.0,0.0,0.0,4860.0,17.0,10856.0,4.0,9.0,29.0,530.0,437.0,10750.0,0.0,0.0,1512.0,16.0,11985.0,9.0,9.0,19.0,0.0,524.0,11450.0,0.0,0.0,3101.0,17.0,1.0
5,12802.722222222223,7.833333333333333,6.722222222222222,8.722222222222221,1114.7777777777778,4616.388888888889,12267.222222222223,24.555555555555557,24.555555555555557,5163.666666666667,14.166666666666666,23996.0,15.0,8.0,13.0,5209.0,7516.0,23550.0,42.0,42.0,21996.0,18.0,12242.444444444445,9.222222222222221,4.777777777777778,10.444444444444445,2228.3333333333335,2057.6666666666665,10938.888888888889,23.444444444444443,23.444444444444443,10828.888888888889,14.222222222222221,9230.367576243982,4.932584269662922,6.276083467094703,12.441412520064205,1249.8459069020867,1823.3820224719102,8539.426966292134,49.99197431781702,49.99197431781702,4581.121990369182,12.36597110754414,10293.6,4.4,4.4,7.8,2542.4,2060.6,10046.0,21.0,21.0,4637.4,13.6,11986.0,0.0,10.0,35.0,1493.0,1255.0,11365.0,141.0,141.0,2572.0,18.0,16374.666666666666,8.666666666666666,7.333333333333333,10.0,1067.3333333333333,2470.0,15882.666666666666,33.666666666666664,33.666666666666664,4131.666666666667,16.333333333333332,18253.0,9.0,9.0,13.0,373.0,1459.0,17675.0,39.0,39.0,17689.0,18.0,17341.0,10.0,6.5,15.5,1176.5,2248.5,15879.0,40.5,40.5,10184.0,17.5,13372.666666666666,7.0,3.6666666666666665,11.666666666666666,1764.6666666666667,1501.0,13025.0,43.666666666666664,43.666666666666664,13547.0,16.0,1.0
6,9607.5,4.0,5.0,9.75,1147.5,896.75,9081.25,24.5,24.5,3552.0,13.25,9724.857142857143,5.0,6.571428571428571,7.0,686.4285714285714,4610.857142857143,8308.57142857143,18.428571428571427,18.428571428571427,2705.5714285714284,12.0,10280.25,7.5,2.5,5.25,846.25,532.75,9271.25,17.0,17.0,2705.0,13.5,10384.0,5.0,8.0,7.0,1388.0,1471.0,10500.0,28.0,28.0,1829.0,16.0,11512.0,6.0,5.5,7.5,695.5,160.5,10892.5,18.5,18.5,8525.0,15.0,14049.0,9.0,6.0,8.0,242.0,582.0,12775.0,17.0,17.0,5196.0,16.0,14137.0,8.0,5.0,11.0,112.0,6470.0,12225.0,34.0,34.0,9640.0,17.0,11120.0,7.625,3.0,9.875,1200.5,656.0,10106.875,21.875,21.875,13024.375,13.875,11101.0,4.571428571428571,5.142857142857143,7.571428571428571,1673.857142857143,5438.428571428572,10204.285714285714,27.428571428571427,27.428571428571427,4941.285714285715,13.285714285714286,9230.367576243982,4.932584269662922,6.276083467094703,12.441412520064205,1249.8459069020867,1823.3820224719102,8539.426966292134,49.99197431781702,49.99197431781702,4581.121990369182,12.36597110754414,0.0
7,12261.0,5.0,11.0,2.0,56.0,6089.0,12275.0,19.0,19.0,3470.0,15.0,12802.722222222223,7.833333333333333,6.722222222222222,8.722222222222221,1114.7777777777778,4616.388888888889,12267.222222222223,24.555555555555557,24.555555555555557,5163.666666666667,14.166666666666666,9651.5,8.5,9.5,3.5,685.0,685.0,8750.0,10.0,10.0,4624.5,11.5,7245.666666666667,3.0,5.333333333333333,13.666666666666666,1498.0,472.0,6491.666666666667,47.333333333333336,47.333333333333336,982.0,11.666666666666666,10480.0,5.0,4.0,7.0,1493.0,371.0,10250.0,36.0,36.0,1450.0,15.0,9230.367576243982,4.932584269662922,6.276083467094703,12.441412520064205,1249.8459069020867,1823.3820224719102,8539.426966292134,49.99197431781702,49.99197431781702,4581.121990369182,12.36597110754414,12365.0,4.0,2.0,12.0,941.0,1413.0,11350.0,38.0,38.0,20571.0,17.0,10742.75,7.5,3.0,8.25,590.75,1612.25,9758.75,16.0,16.0,7137.75,14.25,13834.5,12.75,7.0,8.5,507.0,3144.25,12958.25,18.25,18.25,4769.75,15.25,10097.764705882353,4.411764705882353,4.823529411764706,6.470588235294118,1848.9411764705883,2211.176470588235,9143.235294117647,23.529411764705884,23.529411764705884,7748.294117647059,13.588235294117647,0.0
8,7649.625,3.375,3.875,3.375,99.5,2552.0,6992.25,15.25,15.25,2671.125,11.0,8746.0,2.5,3.0,5.5,50.0,4389.5,7537.5,11.0,11.0,1346.0,11.0,10181.8,6.8,2.8,4.6,300.2,6691.4,9300.0,13.2,13.2,805.8,13.6,11043.5,10.0,5.0,6.5,4372.0,2542.5,9537.5,24.5,24.5,10966.5,13.0,9230.367576243982,4.932584269662922,6.276083467094703,12.441412520064205,1249.8459069020867,1823.3820224719102,8539.426966292134,49.99197431781702,49.99197431781702,4581.121990369182,12.36597110754414,6065.5,0.5,4.5,3.0,0.0,1333.0,5341.5,10.0,10.0,2302.0,11.5,10223.5,8.25,5.25,7.0,512.75,2709.75,9425.0,18.25,18.25,12543.25,13.25,9651.5,8.5,9.5,3.5,685.0,685.0,8750.0,10.0,10.0,4624.5,11.5,8067.0,4.5,4.5,3.0,372.5,2131.5,6737.5,15.0,15.0,625.0,10.5,6238.0,1.5,4.5,5.5,147.0,504.5,5687.5,47.0,47.0,1225.0,10.5,1.0
9,14242.0,9.0,6.0,3.75,1235.75,4437.25,13200.0,16.5,16.5,1473.25,15.75,6238.0,1.5,4.5,5.5,147.0,504.5,5687.5,47.0,47.0,1225.0,10.5,14982.666666666666,8.0,3.6666666666666665,5.666666666666667,1040.3333333333333,6586.666666666667,13038.333333333334,36.333333333333336,36.333333333333336,2082.6666666666665,15.666666666666666,11965.0,6.0,3.5,5.0,97.0,4977.0,11012.5,37.5,37.5,1643.5,15.5,10351.2,7.2,4.2,4.0,869.8,495.8,9492.0,27.2,27.2,11750.0,13.6,9230.367576243982,4.932584269662922,6.276083467094703,12.441412520064205,1249.8459069020867,1823.3820224719102,8539.426966292134,49.99197431781702,49.99197431781702,4581.121990369182,12.36597110754414,10354.5,3.0,4.5,5.5,3773.0,899.5,10212.5,35.0,35.0,3359.5,15.5,14502.0,9.666666666666666,7.0,5.666666666666667,1826.3333333333333,5854.0,13910.0,35.0,35.0,1682.0,15.333333333333334,9663.666666666666,4.333333333333333,4.666666666666667,6.333333333333333,2207.3333333333335,1898.3333333333333,8947.0,26.333333333333332,26.333333333333332,2873.0,14.333333333333334,7573.875,5.25,4.875,3.5,425.375,188.75,6337.5,12.25,12.25,3750.5,11.25,1.0
