,100_MIDDLE_avr_goldEarned,100_MIDDLE_avr_kill,100_MIDDLE_avr_death,100_MIDDLE_avr_assists,100_MIDDLE_avr_trueDamageDealtToChampions,100_MIDDLE_avr_damageDealtToTurrets,100_MIDDLE_avr_goldSpent,100_MIDDLE_avr_visionScore,100_MIDDLE_avr_physicalDamageDealt,100_MIDDLE_avr_totalHeal,100_MIDDLE_avr_champLevel,100_MIDDLE_avr_magicDamageDealtToChampions,100_MIDDLE_avr_wardsPlaced,100_MIDDLE_avr_goldSpent,100_MIDDLE_aggressive,100_MIDDLE_teamplayer,100_MIDDLE_leader,100_MIDDLE_resilient,100_TOP_avr_goldEarned,100_TOP_avr_kill,100_TOP_avr_death,100_TOP_avr_assists,100_TOP_avr_trueDamageDealtToChampions,100_TOP_avr_damageDealtToTurrets,100_TOP_avr_goldSpent,100_TOP_avr_visionScore,100_TOP_avr_physicalDamageDealt,100_TOP_avr_totalHeal,100_TOP_avr_champLevel,100_TOP_avr_magicDamageDealtToChampions,100_TOP_avr_wardsPlaced,100_TOP_avr_goldSpent,100_TOP_aggressive,100_TOP_teamplayer,100_TOP_leader,100_TOP_resilient,100_JUNGLE_avr_goldEarned,100_JUNGLE_avr_kill,100_JUNGLE_avr_death,100_JUNGLE_avr_assists,100_JUNGLE_avr_trueDamageDealtToChampions,100_JUNGLE_avr_damageDealtToTurrets,100_JUNGLE_avr_goldSpent,100_JUNGLE_avr_visionScore,100_JUNGLE_avr_physicalDamageDealt,100_JUNGLE_avr_totalHeal,100_JUNGLE_avr_champLevel,100_JUNGLE_avr_magicDamageDealtToChampions,100_JUNGLE_avr_wardsPlaced,100_JUNGLE_avr_goldSpent,100_JUNGLE_aggressive,100_JUNGLE_teamplayer,100_JUNGLE_leader,100_JUNGLE_resilient,100_ADC_avr_goldEarned,100_ADC_avr_kill,100_ADC_avr_death,100_ADC_avr_assists,100_ADC_avr_trueDamageDealtToChampions,100_ADC_avr_damageDealtToTurrets,100_ADC_avr_goldSpent,100_ADC_avr_visionScore,100_ADC_avr_physicalDamageDealt,100_ADC_avr_totalHeal,100_ADC_avr_champLevel,100_ADC_avr_magicDamageDealtToChampions,100_ADC_avr_wardsPlaced,100_ADC_avr_goldSpent,100_ADC_aggressive,100_ADC_teamplayer,100_ADC_leader,100_ADC_resilient,100_SUPPORT_avr_goldEarned,100_SUPPORT_avr_kill,100_SUPPORT_avr_death,100_SUPPORT_avr_assists,100_SUPPORT_avr_trueDamageDealtToChampions,100_SUPPORT_avr_damageDealtToTurrets,100_SUPPORT_avr_goldSpent,100_SUPPORT_avr_visionScore,100_SUPPORT_avr_physicalDamageDealt,100_SUPPORT_avr_totalHeal,100_SUPPORT_avr_champLevel,100_SUPPORT_avr_magicDamageDealtToChampions,100_SUPPORT_avr_wardsPlaced,100_SUPPORT_avr_goldSpent,100_SUPPORT_aggressive,100_SUPPORT_teamplayer,100_SUPPORT_leader,100_SUPPORT_resilient,200_MIDDLE_avr_goldEarned,200_MIDDLE_avr_kill,200_MIDDLE_avr_death,200_MIDDLE_avr_assists,200_MIDDLE_avr_trueDamageDealtToChampions,200_MIDDLE_avr_damageDealtToTurrets,200_MIDDLE_avr_goldSpent,200_MIDDLE_avr_visionScore,200_MIDDLE_avr_physicalDamageDealt,200_MIDDLE_avr_totalHeal,200_MIDDLE_avr_champLevel,200_MIDDLE_avr_magicDamageDealtToChampions,200_MIDDLE_avr_wardsPlaced,200_MIDDLE_avr_goldSpent,200_MIDDLE_aggressive,200_MIDDLE_teamplayer,200_MIDDLE_leader,200_MIDDLE_resilient,200_TOP_avr_goldEarned,200_TOP_avr_kill,200_TOP_avr_death,200_TOP_avr_assists,200_TOP_avr_trueDamageDealtToChampions,200_TOP_avr_damageDealtToTurrets,200_TOP_avr_goldSpent,200_TOP_avr_visionScore,200_TOP_avr_physicalDamageDealt,200_TOP_avr_totalHeal,200_TOP_avr_champLevel,200_TOP_avr_magicDamageDealtToChampions,200_TOP_avr_wardsPlaced,200_TOP_avr_goldSpent,200_TOP_aggressive,200_TOP_teamplayer,200_TOP_leader,200_TOP_resilient,200_JUNGLE_avr_goldEarned,200_JUNGLE_avr_kill,200_JUNGLE_avr_death,200_JUNGLE_avr_assists,200_JUNGLE_avr_trueDamageDealtToChampions,200_JUNGLE_avr_damageDealtToTurrets,200_JUNGLE_avr_goldSpent,200_JUNGLE_avr_visionScore,200_JUNGLE_avr_physicalDamageDealt,200_JUNGLE_avr_totalHeal,200_JUNGLE_avr_champLevel,200_JUNGLE_avr_magicDamageDealtToChampions,200_JUNGLE_avr_wardsPlaced,200_JUNGLE_avr_goldSpent,200_JUNGLE_aggressive,200_JUNGLE_teamplayer,200_JUNGLE_leader,200_JUNGLE_resilient,200_ADC_avr_goldEarned,200_ADC_avr_kill,200_ADC_avr_death,200_ADC_avr_assists,200_ADC_avr_trueDamageDealtToChampions,200_ADC_avr_damageDealtToTurrets,200_ADC_avr_goldSpent,200_ADC_avr_visionScore,200_ADC_avr_physicalDamageDealt,200_ADC_avr_totalHeal,200_ADC_avr_champLevel,200_ADC_avr_magicDamageDealtToChampions,200_ADC_avr_wardsPlaced,200_ADC_avr_goldSpent,200_ADC_aggressive,200_ADC_teamplayer,200_ADC_leader,200_ADC_resilient,200_SUPPORT_avr_goldEarned,200_SUPPORT_avr_kill,200_SUPPORT_avr_death,200_SUPPORT_avr_assists,200_SUPPORT_avr_trueDamageDealtToChampions,200_SUPPORT_avr_damageDealtToTurrets,200_SUPPORT_avr_goldSpent,200_SUPPORT_avr_visionScore,200_SUPPORT_avr_physicalDamageDealt,200_SUPPORT_avr_totalHeal,200_SUPPORT_avr_champLevel,200_SUPPORT_avr_magicDamageDealtToChampions,200_SUPPORT_avr_wardsPlaced,200_SUPPORT_avr_goldSpent,200_SUPPORT_aggressive,200_SUPPORT_teamplayer,200_SUPPORT_leader,200_SUPPORT_resilient,win
0,12154,19,1,17,78,6003,10350,4,4,4542,13,20866,1,10350,False,False,False,False,11260,8,8,6,1987,2244,11350,20,20,5583,15,6938,11,11350,False,True,True,True,10003,9,3,11,589,1168,9750,17,17,5837,12,1463,9,9750,False,True,False,False,6290,5,2,8,136,112,4900,17,17,34,10,6834,12,4900,False,True,False,False,7607,9,1,18,392,712,7100,16,16,834,10,6687,9,7100,False,True,False,False,7077,4,12,1,444,0,5750,4,4,38,9,6085,3,5750,False,False,False,False,7414,4,10,1,100,763,6750,4,4,2646,10,7889,3,6750,False,False,False,False,4719,1,14,1,928,0,4450,9,9,3280,9,0,3,4450,True,False,False,False,3728,0,14,5,0,0,2500,8,8,3101,8,967,6,2500,True,False,False,False,5286,2,17,4,0,0,3800,5,5,2206,9,457,4,3800,True,False,False,False,0
1,5758,2,15,3,48,0,5900,8,8,0,10,7422,4,5900,True,False,False,False,7956,4,10,1,1230,0,8225,10,10,2832,11,844,6,8225,False,False,False,False,6641,3,10,2,428,0,6000,15,15,2431,10,4103,5,6000,True,False,False,False,3596,0,7,1,260,0,2485,4,4,281,8,2466,3,2485,False,False,False,False,3381,1,5,0,0,0,1720,4,4,370,6,1743,2,1720,False,False,False,False,13958,6,10,10,1613,3581,14000,20,20,22777,18,23411,11,14000,False,True,False,False,12504,7,4,11,5125,3118,12025,35,35,9265,15,12334,6,12025,False,True,False,False,10003,9,3,11,589,1168,9750,17,17,5837,12,1463,9,9750,False,True,False,False,9507,3,7,5,0,4262,9075,20,20,2173,13,4991,10,9075,False,True,True,True,7666,5,2,18,222,1683,7410,21,21,152,11,4597,11,7410,False,False,False,False,1
2,11047,12,2,7,192,2709,9000,10,10,0,14,21206,9,9000,False,True,True,True,20068,18,7,8,13788,10756,16600,17,17,22368,18,0,9,16600,False,False,False,True,12950,4,7,18,1355,2177,12650,40,40,14450,17,8405,10,12650,False,True,True,True,15299,3,9,14,13366,4321,15710,53,53,4498,17,7510,17,15710,True,True,False,True,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,False,True,True,True,14800,10,9,9,0,4344,13190,17,17,8504,17,26554,9,13190,False,True,True,True,12515,7,4,2,48,6110,11833,27,27,3151,16,3674,10,11833,True,True,False,True,12537,10,5,13,916,94,12025,17,17,44223,15,17199,4,12025,True,True,True,True,15039,10,12,15,4350,780,13975,24,24,11456,17,6445,8,13975,True,True,True,True,8714,4,3,22,722,0,9950,57,57,829,13,6373,28,9950,False,True,True,True,1
3,6699,5,1,0,345,1355,5875,8,8,1905,11,282,5,5875,True,False,False,False,6890,1,5,8,900,0,6750,63,63,845,13,7159,36,6750,False,True,True,True,11798,7,7,10,1032,0,11100,34,34,11199,15,3024,16,11100,True,True,True,True,13486,7,3,4,228,1508,13075,19,19,3630,15,2038,12,13075,False,False,False,True,9073,1,5,10,0,348,8250,23,23,5181,15,11355,10,8250,False,False,False,True,12103,5,5,2,1487,894,11525,23,23,4440,15,0,4,11525,False,True,False,True,14900,4,7,4,384,16555,12483,19,19,3511,17,4604,10,12483,False,True,True,True,15255,15,3,5,1617,4275,12650,32,32,11386,16,703,11,12650,False,True,True,True,12138,10,6,4,1951,5487,11975,16,16,4647,12,1215,7,11975,False,False,False,True,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,False,True,True,True,0
4,23996,15,8,13,5209,7516,23550,42,42,21996,18,804,15,23550,False,True,True,True,4661,3,0,0,0,516,3825,7,7,1012,10,1131,4,3825,True,True,False,True,15255,15,3,5,1617,4275,12650,32,32,11386,16,703,11,12650,False,True,True,True,11732,11,3,9,143,5641,11700,20,20,4144,12,1689,8,11700,False,True,True,True,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,False,True,True,True,18253,9,9,13,373,1459,17675,39,39,17689,18,33046,18,17675,False,True,False,True,12476,4,7,18,1285,4497,10700,24,24,9589,17,7122,11,10700,False,True,False,True,10611,7,0,10,395,705,9525,33,33,15481,15,13741,2,9525,True,True,False,True,8831,0,6,6,0,1604,8325,20,20,0,13,712,10,8325,True,True,True,True,11986,0,10,35,1493,1255,11365,141,141,2572,18,9743,73,11365,False,True,True,True,1
5,10416,9,3,7,476,1291,10210,20,20,2634,14,10030,11,10210,False,False,False,False,7931,3,6,12,0,0,7650,63,63,287,12,9658,30,7650,False,True,True,True,8780,2,7,6,873,0,8000,20,20,11526,14,3986,6,8000,False,False,False,True,12440,7,7,11,340,7352,9750,30,30,4959,14,3094,11,9750,False,False,False,False,10384,5,8,7,1388,1471,10500,28,28,1829,16,17304,11,10500,True,True,True,True,,,,,,,,,,,,,,,,,,,14137,8,5,11,112,6470,12225,34,34,9640,17,2450,12,12225,True,True,True,True,5163,2,7,1,459,0,4150,6,6,4063,8,1746,3,4150,False,True,True,False,4711,2,7,2,0,0,4195,12,12,1314,8,0,4,4195,False,True,True,True,14049,9,6,8,242,582,12775,17,17,5196,16,5811,8,12775,False,False,False,True,0
6,10480,5,4,7,1493,371,10250,36,36,1450,15,14659,16,10250,False,True,False,True,12261,5,11,2,56,6089,12275,19,19,3470,15,6800,10,12275,True,False,False,True,5364,3,8,1,399,0,4225,4,4,3284,8,826,6,4225,True,False,False,False,11732,11,3,9,143,5641,11700,20,20,4144,12,1689,8,11700,False,True,True,True,7087,4,2,15,2274,1128,5675,43,43,533,11,910,20,5675,False,True,True,False,14162,9,5,11,100,4645,14275,16,16,6694,16,27994,9,14275,False,False,False,True,13530,11,7,12,99,1107,12775,23,23,10556,16,2600,11,12775,False,False,False,False,12365,4,2,12,941,1413,11350,38,38,20571,17,6662,3,11350,False,True,False,True,10120,5,7,12,370,4029,9650,25,25,1114,14,448,10,9650,True,True,False,False,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,False,True,True,True,0
7,9994,9,2,2,768,772,8358,14,14,5610,14,4953,8,8358,False,False,False,False,10278,4,2,6,0,5911,9850,12,12,1343,15,2847,7,9850,False,False,False,False,14433,12,9,7,7158,2291,13475,33,33,17292,16,0,5,13475,True,True,True,False,9080,3,2,9,100,8024,8150,8,8,443,10,0,3,8150,False,False,False,False,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,False,True,True,True,4814,2,4,2,180,443,4725,9,9,442,10,281,6,4725,True,False,False,False,7708,1,4,4,0,2666,7383,15,15,2711,14,2954,7,7383,False,False,False,False,5364,3,8,1,399,0,4225,4,4,3284,8,826,6,4225,True,False,False,False,11440,8,4,4,295,3896,9750,25,25,594,13,608,12,9750,False,False,False,False,8245,0,4,10,0,510,7825,85,85,2450,13,3442,37,7825,False,True,False,False,1
8,17589,12,3,6,2335,9217,14625,32,32,1702,17,11828,9,14625,False,True,True,True,10128,6,2,7,194,2925,9475,28,28,2899,14,8652,14,9475,False,True,False,True,7325,4,7,4,752,0,6050,14,14,9107,11,376,7,6050,False,True,True,True,11928,4,10,4,2001,873,10825,17,17,833,16,2475,1,10825,False,False,False,True,8245,0,4,10,0,510,7825,85,85,2450,13,3442,37,7825,False,True,False,False,8949,2,4,6,2577,3171,8683,19,19,1266,14,296,10,8683,False,True,False,True,7433,0,6,4,2946,0,7350,33,33,929,14,295,10,7350,False,True,False,True,9228,4,5,7,482,45,8125,29,29,10467,13,6842,5,8125,False,False,False,False,19128,18,9,4,4445,5703,18250,31,31,3280,17,2128,12,18250,True,True,True,True,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,False,True,True,True,1
9,11088,8,6,8,994,1050,10400,12,12,3080,14,542,10,10400,False,True,True,True,9910,2,11,4,0,2018,9783,19,19,4385,14,4931,11,9783,False,False,False,True,9814,5,3,7,3148,1308,8785,30,30,12386,14,0,6,8785,False,True,False,True,19128,18,9,4,4445,5703,18250,31,31,3280,17,2128,12,18250,True,True,True,True,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,False,True,True,True,8949,2,4,6,2577,3171,8683,19,19,1266,14,296,10,8683,False,True,False,True,10602,5,5,6,102,0,10075,19,19,2751,15,40,9,10075,False,False,False,True,7325,4,7,4,752,0,6050,14,14,9107,11,376,7,6050,False,True,True,True,8879,2,7,5,217,0,8685,11,11,1133,13,13023,9,8685,False,True,False,True,5912,1,5,7,524,0,5625,57,57,5064,11,3728,27,5625,False,True,False,False,1
