,100_MIDDLE_avr_goldEarned,100_MIDDLE_avr_kill,100_MIDDLE_avr_death,100_MIDDLE_avr_assists,100_MIDDLE_avr_trueDamageDealtToChampions,100_MIDDLE_avr_damageDealtToTurrets,100_MIDDLE_avr_goldSpent,100_MIDDLE_avr_visionScore,100_MIDDLE_avr_physicalDamageDealt,100_MIDDLE_avr_totalHeal,100_MIDDLE_avr_champLevel,100_MIDDLE_avr_magicDamageDealtToChampions,100_MIDDLE_avr_wardsPlaced,100_MIDDLE_avr_goldSpent,100_MIDDLE_aggressive,100_MIDDLE_teamplayer,100_MIDDLE_leader,100_MIDDLE_resilient,100_TOP_avr_goldEarned,100_TOP_avr_kill,100_TOP_avr_death,100_TOP_avr_assists,100_TOP_avr_trueDamageDealtToChampions,100_TOP_avr_damageDealtToTurrets,100_TOP_avr_goldSpent,100_TOP_avr_visionScore,100_TOP_avr_physicalDamageDealt,100_TOP_avr_totalHeal,100_TOP_avr_champLevel,100_TOP_avr_magicDamageDealtToChampions,100_TOP_avr_wardsPlaced,100_TOP_avr_goldSpent,100_TOP_aggressive,100_TOP_teamplayer,100_TOP_leader,100_TOP_resilient,100_JUNGLE_avr_goldEarned,100_JUNGLE_avr_kill,100_JUNGLE_avr_death,100_JUNGLE_avr_assists,100_JUNGLE_avr_trueDamageDealtToChampions,100_JUNGLE_avr_damageDealtToTurrets,100_JUNGLE_avr_goldSpent,100_JUNGLE_avr_visionScore,100_JUNGLE_avr_physicalDamageDealt,100_JUNGLE_avr_totalHeal,100_JUNGLE_avr_champLevel,100_JUNGLE_avr_magicDamageDealtToChampions,100_JUNGLE_avr_wardsPlaced,100_JUNGLE_avr_goldSpent,100_JUNGLE_aggressive,100_JUNGLE_teamplayer,100_JUNGLE_leader,100_JUNGLE_resilient,100_ADC_avr_goldEarned,100_ADC_avr_kill,100_ADC_avr_death,100_ADC_avr_assists,100_ADC_avr_trueDamageDealtToChampions,100_ADC_avr_damageDealtToTurrets,100_ADC_avr_goldSpent,100_ADC_avr_visionScore,100_ADC_avr_physicalDamageDealt,100_ADC_avr_totalHeal,100_ADC_avr_champLevel,100_ADC_avr_magicDamageDealtToChampions,100_ADC_avr_wardsPlaced,100_ADC_avr_goldSpent,100_ADC_aggressive,100_ADC_teamplayer,100_ADC_leader,100_ADC_resilient,100_SUPPORT_avr_goldEarned,100_SUPPORT_avr_kill,100_SUPPORT_avr_death,100_SUPPORT_avr_assists,100_SUPPORT_avr_trueDamageDealtToChampions,100_SUPPORT_avr_damageDealtToTurrets,100_SUPPORT_avr_goldSpent,100_SUPPORT_avr_visionScore,100_SUPPORT_avr_physicalDamageDealt,100_SUPPORT_avr_totalHeal,100_SUPPORT_avr_champLevel,100_SUPPORT_avr_magicDamageDealtToChampions,100_SUPPORT_avr_wardsPlaced,100_SUPPORT_avr_goldSpent,100_SUPPORT_aggressive,100_SUPPORT_teamplayer,100_SUPPORT_leader,100_SUPPORT_resilient,200_MIDDLE_avr_goldEarned,200_MIDDLE_avr_kill,200_MIDDLE_avr_death,200_MIDDLE_avr_assists,200_MIDDLE_avr_trueDamageDealtToChampions,200_MIDDLE_avr_damageDealtToTurrets,200_MIDDLE_avr_goldSpent,200_MIDDLE_avr_visionScore,200_MIDDLE_avr_physicalDamageDealt,200_MIDDLE_avr_totalHeal,200_MIDDLE_avr_champLevel,200_MIDDLE_avr_magicDamageDealtToChampions,200_MIDDLE_avr_wardsPlaced,200_MIDDLE_avr_goldSpent,200_MIDDLE_aggressive,200_MIDDLE_teamplayer,200_MIDDLE_leader,200_MIDDLE_resilient,200_TOP_avr_goldEarned,200_TOP_avr_kill,200_TOP_avr_death,200_TOP_avr_assists,200_TOP_avr_trueDamageDealtToChampions,200_TOP_avr_damageDealtToTurrets,200_TOP_avr_goldSpent,200_TOP_avr_visionScore,200_TOP_avr_physicalDamageDealt,200_TOP_avr_totalHeal,200_TOP_avr_champLevel,200_TOP_avr_magicDamageDealtToChampions,200_TOP_avr_wardsPlaced,200_TOP_avr_goldSpent,200_TOP_aggressive,200_TOP_teamplayer,200_TOP_leader,200_TOP_resilient,200_JUNGLE_avr_goldEarned,200_JUNGLE_avr_kill,200_JUNGLE_avr_death,200_JUNGLE_avr_assists,200_JUNGLE_avr_trueDamageDealtToChampions,200_JUNGLE_avr_damageDealtToTurrets,200_JUNGLE_avr_goldSpent,200_JUNGLE_avr_visionScore,200_JUNGLE_avr_physicalDamageDealt,200_JUNGLE_avr_totalHeal,200_JUNGLE_avr_champLevel,200_JUNGLE_avr_magicDamageDealtToChampions,200_JUNGLE_avr_wardsPlaced,200_JUNGLE_avr_goldSpent,200_JUNGLE_aggressive,200_JUNGLE_teamplayer,200_JUNGLE_leader,200_JUNGLE_resilient,200_ADC_avr_goldEarned,200_ADC_avr_kill,200_ADC_avr_death,200_ADC_avr_assists,200_ADC_avr_trueDamageDealtToChampions,200_ADC_avr_damageDealtToTurrets,200_ADC_avr_goldSpent,200_ADC_avr_visionScore,200_ADC_avr_physicalDamageDealt,200_ADC_avr_totalHeal,200_ADC_avr_champLevel,200_ADC_avr_magicDamageDealtToChampions,200_ADC_avr_wardsPlaced,200_ADC_avr_goldSpent,200_ADC_aggressive,200_ADC_teamplayer,200_ADC_leader,200_ADC_resilient,200_SUPPORT_avr_goldEarned,200_SUPPORT_avr_kill,200_SUPPORT_avr_death,200_SUPPORT_avr_assists,200_SUPPORT_avr_trueDamageDealtToChampions,200_SUPPORT_avr_damageDealtToTurrets,200_SUPPORT_avr_goldSpent,200_SUPPORT_avr_visionScore,200_SUPPORT_avr_physicalDamageDealt,200_SUPPORT_avr_totalHeal,200_SUPPORT_avr_champLevel,200_SUPPORT_avr_magicDamageDealtToChampions,200_SUPPORT_avr_wardsPlaced,200_SUPPORT_avr_goldSpent,200_SUPPORT_aggressive,200_SUPPORT_teamplayer,200_SUPPORT_leader,200_SUPPORT_resilient,win
0,12154.0,19.0,1.0,17.0,78.0,6003.0,10350.0,4.0,4.0,4542.0,13.0,20866.0,1.0,10350.0,0.4680662916430751,0.7413527919256279,0.5449590162868898,0.752608170649876,11260.0,8.0,8.0,6.0,1987.0,2244.0,11350.0,20.0,20.0,5583.0,15.0,6938.0,11.0,11350.0,0.5628176730823089,0.07186690711747956,0.2048070181709285,0.5,10003.0,9.0,3.0,11.0,589.0,1168.0,9750.0,17.0,17.0,5837.0,12.0,1463.0,9.0,9750.0,0.6770467224581598,0.5727510139689571,0.5353431573035928,0.5740447431733708,6290.0,5.0,2.0,8.0,136.0,112.0,4900.0,17.0,17.0,34.0,10.0,6834.0,12.0,4900.0,0.5854907745480136,0.6096403037059405,0.6495517415732911,0.5477621536662669,7607.0,9.0,1.0,18.0,392.0,712.0,7100.0,16.0,16.0,834.0,10.0,6687.0,9.0,7100.0,0.6693556313087636,0.6125538947595308,0.6490329647007596,0.5834327532201982,7077.0,4.0,12.0,1.0,444.0,0.0,5750.0,4.0,4.0,38.0,9.0,6085.0,3.0,5750.0,0.3329521697633661,0.8720403771073233,0.8596986162913559,0.8502286822876114,7414.0,4.0,10.0,1.0,100.0,763.0,6750.0,4.0,4.0,2646.0,10.0,7889.0,3.0,6750.0,0.34656577058573723,0.8720403771073233,0.8596986162913559,0.8502286822876114,4719.0,1.0,14.0,1.0,928.0,0.0,4450.0,9.0,9.0,3280.0,9.0,0.0,3.0,4450.0,0.2647188723455275,0.8137513736962125,0.8983533696482264,0.8502286822876114,3728.0,0.0,14.0,5.0,0.0,0.0,2500.0,8.0,8.0,3101.0,8.0,967.0,6.0,2500.0,0.2841608436148867,0.8265609882464063,0.8369589218608975,0.8502286822876114,5286.0,2.0,17.0,4.0,0.0,0.0,3800.0,5.0,5.0,2206.0,9.0,457.0,4.0,3800.0,0.2629801862652721,0.861532945975436,0.8035405835772378,0.8502286822876114,0.0
1,5758.0,2.0,15.0,3.0,48.0,0.0,5900.0,8.0,8.0,0.0,10.0,7422.0,4.0,5900.0,0.33210968099459826,0.8265609882464063,0.613734652747444,0.7965604899800145,7956.0,4.0,10.0,1.0,1230.0,0.0,8225.0,10.0,10.0,2832.0,11.0,844.0,6.0,8225.0,0.3859227233765471,0.8003714135139406,0.6006398653812111,0.7965604899800145,6641.0,3.0,10.0,2.0,428.0,0.0,6000.0,15.0,15.0,2431.0,10.0,4103.0,5.0,6000.0,0.2922835277996394,0.7253017987953045,0.563105058021893,0.7965604899800145,3596.0,0.0,7.0,1.0,260.0,0.0,2485.0,4.0,4.0,281.0,8.0,2466.0,3.0,2485.0,0.5276376604208769,0.8720403771073233,0.929556713562924,0.7965604899800145,3381.0,1.0,5.0,0.0,0.0,0.0,1720.0,4.0,4.0,370.0,6.0,1743.0,2.0,1720.0,0.8183997613269329,0.8720403771073233,0.929556713562924,0.7965604899800145,13958.0,6.0,10.0,10.0,1613.0,3581.0,14000.0,20.0,20.0,22777.0,18.0,23411.0,11.0,14000.0,0.5854907745480136,0.6096403037059405,0.6495517415732911,0.5477621536662669,12504.0,7.0,4.0,11.0,5125.0,3118.0,12025.0,35.0,35.0,9265.0,15.0,12334.0,6.0,12025.0,0.6693556313087636,0.6125538947595308,0.6490329647007596,0.5834327532201982,10003.0,9.0,3.0,11.0,589.0,1168.0,9750.0,17.0,17.0,5837.0,12.0,1463.0,9.0,9750.0,0.6770467224581598,0.5727510139689571,0.5353431573035928,0.5740447431733708,9507.0,3.0,7.0,5.0,0.0,4262.0,9075.0,20.0,20.0,2173.0,13.0,4991.0,10.0,9075.0,0.5628176730823089,0.07186690711747956,0.2048070181709285,0.5,7666.0,5.0,2.0,18.0,222.0,1683.0,7410.0,21.0,21.0,152.0,11.0,4597.0,11.0,7410.0,0.4680662916430751,0.7413527919256279,0.5449590162868898,0.752608170649876,1.0
2,11047.0,12.0,2.0,7.0,192.0,2709.0,9000.0,10.0,10.0,0.0,14.0,21206.0,9.0,9000.0,0.6001538026298563,0.5308974892765479,0.4356928927304085,0.3836061763828842,20068.0,18.0,7.0,8.0,13788.0,10756.0,16600.0,17.0,17.0,22368.0,18.0,0.0,9.0,16600.0,0.2250430453467728,0.6917973136143191,0.4702656958406304,0.03591917512043996,12950.0,4.0,7.0,18.0,1355.0,2177.0,12650.0,40.0,40.0,14450.0,17.0,8405.0,10.0,12650.0,0.536334751660831,0.4965871530562354,0.4453154882872335,0.4723599825958002,15299.0,3.0,9.0,14.0,13366.0,4321.0,15710.0,53.0,53.0,4498.0,17.0,7510.0,17.0,15710.0,0.3289648432737093,0.10421542504120483,0.4487267917017292,0.03591917512043996,15515.0,17.0,7.0,14.0,5241.0,627.0,12525.0,57.0,57.0,5248.0,15.0,0.0,24.0,12525.0,0.5628176730823089,0.07186690711747956,0.2048070181709285,0.5,14800.0,10.0,9.0,9.0,0.0,4344.0,13190.0,17.0,17.0,8504.0,17.0,26554.0,9.0,13190.0,0.41670223696216097,0.5727510139689571,0.5291803789060412,0.3156003124790523,12515.0,7.0,4.0,2.0,48.0,6110.0,11833.0,27.0,27.0,3151.0,16.0,3674.0,10.0,11833.0,0.2838932136577946,0.4563006009068482,0.5859981625716284,0.13769096614414944,12537.0,10.0,5.0,13.0,916.0,94.0,12025.0,17.0,17.0,44223.0,15.0,17199.0,4.0,12025.0,0.2395423125309578,0.5211729803660019,0.4605107058168917,0.3815711528956104,15039.0,10.0,12.0,15.0,4350.0,780.0,13975.0,24.0,24.0,11456.0,17.0,6445.0,8.0,13975.0,0.23595637960646,0.5631474569219339,0.406711794050839,0.03591917512043996,8714.0,4.0,3.0,22.0,722.0,0.0,9950.0,57.0,57.0,829.0,13.0,6373.0,28.0,9950.0,0.5766011393009609,0.02021290733725389,0.1953237568523059,0.19085898369594825,1.0
3,6699.0,5.0,1.0,0.0,345.0,1355.0,5875.0,8.0,8.0,1905.0,11.0,282.0,5.0,5875.0,0.408797672995934,0.7864290265226361,0.7456151829293658,0.5844730367872237,6890.0,1.0,5.0,8.0,900.0,0.0,6750.0,63.0,63.0,845.0,13.0,7159.0,36.0,6750.0,0.7269205633862094,0.17562170378996345,0.3252198892339294,0.5074470740615648,11798.0,7.0,7.0,10.0,1032.0,0.0,11100.0,34.0,34.0,11199.0,15.0,3024.0,16.0,11100.0,0.17279599301966747,0.3708459988279986,0.19197284439725032,0.20193427406191652,13486.0,7.0,3.0,4.0,228.0,1508.0,13075.0,19.0,19.0,3630.0,15.0,2038.0,12.0,13075.0,0.8069250582819938,0.6566133606304194,0.5287608389394505,0.20193427406191652,9073.0,1.0,5.0,10.0,0.0,348.0,8250.0,23.0,23.0,5181.0,15.0,11355.0,10.0,8250.0,0.6718773322223706,0.6231130547440191,0.5894109806960522,0.3938284648778595,12103.0,5.0,5.0,2.0,1487.0,894.0,11525.0,23.0,23.0,4440.0,15.0,0.0,4.0,11525.0,0.6656394745160104,0.5823116479732131,0.7590281071464382,0.20193427406191652,14900.0,4.0,7.0,4.0,384.0,16555.0,12483.0,19.0,19.0,3511.0,17.0,4604.0,10.0,12483.0,0.37915426496651017,0.5918238729883231,0.5316129467309407,0.3494902716026824,15255.0,15.0,3.0,5.0,1617.0,4275.0,12650.0,32.0,32.0,11386.0,16.0,703.0,11.0,12650.0,0.5137248493451816,0.5738155273207359,0.4061387983453703,0.4249099671111547,12138.0,10.0,6.0,4.0,1951.0,5487.0,11975.0,16.0,16.0,4647.0,12.0,1215.0,7.0,11975.0,0.4931108131334433,0.6685123405693685,0.5404358249439333,0.4893619658541245,15515.0,17.0,7.0,14.0,5241.0,627.0,12525.0,57.0,57.0,5248.0,15.0,0.0,24.0,12525.0,0.5628176730823089,0.07186690711747956,0.2048070181709285,0.5,0.0
4,23996.0,15.0,8.0,13.0,5209.0,7516.0,23550.0,42.0,42.0,21996.0,18.0,804.0,15.0,23550.0,0.4778233903753465,0.23561857546615594,0.1872444403089647,0.0001404613863925652,4661.0,3.0,0.0,0.0,0.0,516.0,3825.0,7.0,7.0,1012.0,10.0,1131.0,4.0,3825.0,0.3426265497355864,0.6200165702445368,0.6702472165412988,0.41137181671753204,15255.0,15.0,3.0,5.0,1617.0,4275.0,12650.0,32.0,32.0,11386.0,16.0,703.0,11.0,12650.0,0.5137248493451816,0.5738155273207359,0.4061387983453703,0.4249099671111547,11732.0,11.0,3.0,9.0,143.0,5641.0,11700.0,20.0,20.0,4144.0,12.0,1689.0,8.0,11700.0,0.5006788583463342,0.5524332632574896,0.4964881309304738,0.2567541909387272,15515.0,17.0,7.0,14.0,5241.0,627.0,12525.0,57.0,57.0,5248.0,15.0,0.0,24.0,12525.0,0.5628176730823089,0.07186690711747956,0.2048070181709285,0.5,18253.0,9.0,9.0,13.0,373.0,1459.0,17675.0,39.0,39.0,17689.0,18.0,33046.0,18.0,17675.0,0.43295382980529373,0.2830186452713317,0.4327314933178468,0.0001404613863925652,12476.0,4.0,7.0,18.0,1285.0,4497.0,10700.0,24.0,24.0,9589.0,17.0,7122.0,11.0,10700.0,0.4925362424666467,0.25875693431044555,0.3804262425095902,0.005033270985738914,10611.0,7.0,0.0,10.0,395.0,705.0,9525.0,33.0,33.0,15481.0,15.0,13741.0,2.0,9525.0,0.29138033671603564,0.21130670102571705,0.38711985970032303,0.1665032279305898,8831.0,0.0,6.0,6.0,0.0,1604.0,8325.0,20.0,20.0,0.0,13.0,712.0,10.0,8325.0,0.3667902067652003,0.3770157606692167,0.39031410456145055,0.0328735269264997,11986.0,0.0,10.0,35.0,1493.0,1255.0,11365.0,141.0,141.0,2572.0,18.0,9743.0,73.0,11365.0,0.4485074741370517,1.370004032441585e-08,0.049778636950321316,0.0001404613863925652,1.0
5,10416.0,9.0,3.0,7.0,476.0,1291.0,10210.0,20.0,20.0,2634.0,14.0,10030.0,11.0,10210.0,0.6207962797843292,0.6917973136143191,0.5561211263839215,0.5782227071786377,7931.0,3.0,6.0,12.0,0.0,0.0,7650.0,63.0,63.0,287.0,12.0,9658.0,30.0,7650.0,0.5299008647580971,0.5535065387334172,0.43315367260325904,0.4459064244611704,8780.0,2.0,7.0,6.0,873.0,0.0,8000.0,20.0,20.0,11526.0,14.0,3986.0,6.0,8000.0,0.5138340666714964,0.6655529192181131,0.6341302101484076,0.26106998383049285,12440.0,7.0,7.0,11.0,340.0,7352.0,9750.0,30.0,30.0,4959.0,14.0,3094.0,11.0,9750.0,0.4764836397190281,0.666822516145067,0.5701212938671023,0.6583749085672994,10384.0,5.0,8.0,7.0,1388.0,1471.0,10500.0,28.0,28.0,1829.0,16.0,17304.0,11.0,10500.0,0.2041990752648996,0.4854526077247995,0.4176474058042918,0.31749902110417816,,,,,,,,,,,,,,,,,,,14137.0,8.0,5.0,11.0,112.0,6470.0,12225.0,34.0,34.0,9640.0,17.0,2450.0,12.0,12225.0,0.1939856782509813,0.3708459988279986,0.32332416590837965,0.31749902110417816,5163.0,2.0,7.0,1.0,459.0,0.0,4150.0,6.0,6.0,4063.0,8.0,1746.0,3.0,4150.0,0.4694478887546464,0.6036378605770032,0.5021570080628188,0.5308232253295496,4711.0,2.0,7.0,2.0,0.0,0.0,4195.0,12.0,12.0,1314.0,8.0,0.0,4.0,4195.0,0.536334751660831,0.4965871530562354,0.4453154882872335,0.4723599825958002,14049.0,9.0,6.0,8.0,242.0,582.0,12775.0,17.0,17.0,5196.0,16.0,5811.0,8.0,12775.0,0.3905660387915464,0.6917973136143191,0.5870489534327585,0.31749902110417816,0.0
6,10480.0,5.0,4.0,7.0,1493.0,371.0,10250.0,36.0,36.0,1450.0,15.0,14659.0,16.0,10250.0,0.6179841123901655,0.3345705688012813,0.5400593949901604,0.2533284906793433,12261.0,5.0,11.0,2.0,56.0,6089.0,12275.0,19.0,19.0,3470.0,15.0,6800.0,10.0,12275.0,0.16167919962596033,0.6566133606304194,0.7519851080529041,0.2533284906793433,5364.0,3.0,8.0,1.0,399.0,0.0,4225.0,4.0,4.0,3284.0,8.0,826.0,6.0,4225.0,0.20816419085018967,0.8003714135139406,0.6077181704725525,0.6564148881440671,11732.0,11.0,3.0,9.0,143.0,5641.0,11700.0,20.0,20.0,4144.0,12.0,1689.0,8.0,11700.0,0.5006788583463342,0.5524332632574896,0.4964881309304738,0.2567541909387272,7087.0,4.0,2.0,15.0,2274.0,1128.0,5675.0,43.0,43.0,533.0,11.0,910.0,20.0,5675.0,0.5953814806159073,0.1632872592207354,0.2441561789827291,0.5509294856920075,14162.0,9.0,5.0,11.0,100.0,4645.0,14275.0,16.0,16.0,6694.0,16.0,27994.0,9.0,14275.0,0.4352515427659941,0.669988129858667,0.4822716972217289,0.37447465281540426,13530.0,11.0,7.0,12.0,99.0,1107.0,12775.0,23.0,23.0,10556.0,16.0,2600.0,11.0,12775.0,0.6570132801551016,0.7087744959651727,0.5211409322470143,0.6020616066357737,12365.0,4.0,2.0,12.0,941.0,1413.0,11350.0,38.0,38.0,20571.0,17.0,6662.0,3.0,11350.0,0.5377561332545321,0.2997774984823238,0.4997868619282035,0.2533284906793433,10120.0,5.0,7.0,12.0,370.0,4029.0,9650.0,25.0,25.0,1114.0,14.0,448.0,10.0,9650.0,0.44014620899308704,0.5721872330313729,0.564521368099136,0.5318838670721879,15515.0,17.0,7.0,14.0,5241.0,627.0,12525.0,57.0,57.0,5248.0,15.0,0.0,24.0,12525.0,0.5628176730823089,0.07186690711747956,0.2048070181709285,0.5,0.0
7,9994.0,9.0,2.0,2.0,768.0,772.0,8358.0,14.0,14.0,5610.0,14.0,4953.0,8.0,8358.0,0.5548294277836749,0.7212136452496701,0.7688096733126344,0.8593531781304619,10278.0,4.0,2.0,6.0,0.0,5911.0,9850.0,12.0,12.0,1343.0,15.0,2847.0,7.0,9850.0,0.644660016572344,0.7538347953016267,0.6457641537583225,0.6622821200849113,14433.0,12.0,9.0,7.0,7158.0,2291.0,13475.0,33.0,33.0,17292.0,16.0,0.0,5.0,13475.0,0.2330274218387377,0.5535065387334172,0.4161725628447835,0.5865518216779122,9080.0,3.0,2.0,9.0,100.0,8024.0,8150.0,8.0,8.0,443.0,10.0,0.0,3.0,8150.0,0.6947864970685568,0.7864290265226361,0.7785874420472096,0.8514675918297019,15515.0,17.0,7.0,14.0,5241.0,627.0,12525.0,57.0,57.0,5248.0,15.0,0.0,24.0,12525.0,0.5628176730823089,0.07186690711747956,0.2048070181709285,0.5,4814.0,2.0,4.0,2.0,180.0,443.0,4725.0,9.0,9.0,442.0,10.0,281.0,6.0,4725.0,0.3071538957011201,0.669988129858667,0.5823972255626427,0.6928831997697982,7708.0,1.0,4.0,4.0,0.0,2666.0,7383.0,15.0,15.0,2711.0,14.0,2954.0,7.0,7383.0,0.4953833434501678,0.8003714135139406,0.8762025396187951,0.8156036572059828,5364.0,3.0,8.0,1.0,399.0,0.0,4225.0,4.0,4.0,3284.0,8.0,826.0,6.0,4225.0,0.20816419085018967,0.8003714135139406,0.6077181704725525,0.6564148881440671,11440.0,8.0,4.0,4.0,295.0,3896.0,9750.0,25.0,25.0,594.0,13.0,608.0,12.0,9750.0,0.6765433702121579,0.7253017987953045,0.6457548019448212,0.8105890387483711,8245.0,0.0,4.0,10.0,0.0,510.0,7825.0,85.0,85.0,2450.0,13.0,3442.0,37.0,7825.0,0.6495643154774801,0.16733467965478932,0.3987687498103392,0.5677623254536734,1.0
8,17589.0,12.0,3.0,6.0,2335.0,9217.0,14625.0,32.0,32.0,1702.0,17.0,11828.0,9.0,14625.0,0.7441821939039279,0.3286613365310619,0.3016683422015178,0.3624087794420079,10128.0,6.0,2.0,7.0,194.0,2925.0,9475.0,28.0,28.0,2899.0,14.0,8652.0,14.0,9475.0,0.6890835666127983,0.3083220446553364,0.4447239632425529,0.2932060568746663,7325.0,4.0,7.0,4.0,752.0,0.0,6050.0,14.0,14.0,9107.0,11.0,376.0,7.0,6050.0,0.5924265632130332,0.5010422018914704,0.44055436578619694,0.4914892095352673,11928.0,4.0,10.0,4.0,2001.0,873.0,10825.0,17.0,17.0,833.0,16.0,2475.0,1.0,10825.0,0.5926239198577183,0.7003403733633331,0.6356982115585431,0.2087603000869944,8245.0,0.0,4.0,10.0,0.0,510.0,7825.0,85.0,85.0,2450.0,13.0,3442.0,37.0,7825.0,0.6495643154774801,0.16733467965478932,0.3987687498103392,0.5677623254536734,8949.0,2.0,4.0,6.0,2577.0,3171.0,8683.0,19.0,19.0,1266.0,14.0,296.0,10.0,8683.0,0.5175132015200216,0.5179283866583058,0.6140451364254409,0.46281646820084205,7433.0,0.0,6.0,4.0,2946.0,0.0,7350.0,33.0,33.0,929.0,14.0,295.0,10.0,7350.0,0.5621330366968109,0.3525406312334911,0.5880112301720124,0.22600779603030616,9228.0,4.0,5.0,7.0,482.0,45.0,8125.0,29.0,29.0,10467.0,13.0,6842.0,5.0,8125.0,0.5455766703251719,0.7682271679036283,0.7270130653293918,0.7067939431253337,19128.0,18.0,9.0,4.0,4445.0,5703.0,18250.0,31.0,31.0,3280.0,17.0,2128.0,12.0,18250.0,0.4298425286642527,0.3525406312334911,0.3937021298361924,0.3071168002302018,15515.0,17.0,7.0,14.0,5241.0,627.0,12525.0,57.0,57.0,5248.0,15.0,0.0,24.0,12525.0,0.5628176730823089,0.07186690711747956,0.2048070181709285,0.5,1.0
9,11088.0,8.0,6.0,8.0,994.0,1050.0,10400.0,12.0,12.0,3080.0,14.0,542.0,10.0,10400.0,0.5773066219297076,0.6162906240631448,0.4474222332373991,0.4374862134736366,9910.0,2.0,11.0,4.0,0.0,2018.0,9783.0,19.0,19.0,4385.0,14.0,4931.0,11.0,9783.0,0.4156114282986174,0.669988129858667,0.7359538015201312,0.5010639282551139,9814.0,5.0,3.0,7.0,3148.0,1308.0,8785.0,30.0,30.0,12386.0,14.0,0.0,6.0,8785.0,0.5745382181854919,0.4466275490980853,0.5113297658162066,0.4925529259384353,19128.0,18.0,9.0,4.0,4445.0,5703.0,18250.0,31.0,31.0,3280.0,17.0,2128.0,12.0,18250.0,0.4298425286642527,0.3525406312334911,0.3937021298361924,0.3071168002302018,15515.0,17.0,7.0,14.0,5241.0,627.0,12525.0,57.0,57.0,5248.0,15.0,0.0,24.0,12525.0,0.5628176730823089,0.07186690711747956,0.2048070181709285,0.5,8949.0,2.0,4.0,6.0,2577.0,3171.0,8683.0,19.0,19.0,1266.0,14.0,296.0,10.0,8683.0,0.5175132015200216,0.5179283866583058,0.6140451364254409,0.46281646820084205,10602.0,5.0,5.0,6.0,102.0,0.0,10075.0,19.0,19.0,2751.0,15.0,40.0,9.0,10075.0,0.4084510333689402,0.7003403733633331,0.6539421352971195,0.4564656539858163,7325.0,4.0,7.0,4.0,752.0,0.0,6050.0,14.0,14.0,9107.0,11.0,376.0,7.0,6050.0,0.5924265632130332,0.5010422018914704,0.44055436578619694,0.4914892095352673,8879.0,2.0,7.0,5.0,217.0,0.0,8685.0,11.0,11.0,1133.0,13.0,13023.0,9.0,8685.0,0.4483890610979104,0.6106815883801779,0.7437513796310286,0.2126105795721437,5912.0,1.0,5.0,7.0,524.0,0.0,5625.0,57.0,57.0,5064.0,11.0,3728.0,27.0,5625.0,0.5987569200084613,0.524416171539736,0.7317622011662688,0.7973139429933874,1.0
