,100_MIDDLE_avr_goldEarned,100_MIDDLE_avr_kill,100_MIDDLE_avr_death,100_MIDDLE_avr_assists,100_MIDDLE_avr_trueDamageDealtToChampions,100_MIDDLE_avr_damageDealtToTurrets,100_MIDDLE_avr_goldSpent,100_MIDDLE_avr_visionScore,100_MIDDLE_avr_physicalDamageDealt,100_MIDDLE_avr_totalHeal,100_MIDDLE_avr_champLevel,100_MIDDLE_avr_magicDamageDealtToChampions,100_MIDDLE_avr_wardsPlaced,100_MIDDLE_avr_goldSpent,100_TOP_avr_goldEarned,100_TOP_avr_kill,100_TOP_avr_death,100_TOP_avr_assists,100_TOP_avr_trueDamageDealtToChampions,100_TOP_avr_damageDealtToTurrets,100_TOP_avr_goldSpent,100_TOP_avr_visionScore,100_TOP_avr_physicalDamageDealt,100_TOP_avr_totalHeal,100_TOP_avr_champLevel,100_TOP_avr_magicDamageDealtToChampions,100_TOP_avr_wardsPlaced,100_TOP_avr_goldSpent,100_JUNGLE_avr_goldEarned,100_JUNGLE_avr_kill,100_JUNGLE_avr_death,100_JUNGLE_avr_assists,100_JUNGLE_avr_trueDamageDealtToChampions,100_JUNGLE_avr_damageDealtToTurrets,100_JUNGLE_avr_goldSpent,100_JUNGLE_avr_visionScore,100_JUNGLE_avr_physicalDamageDealt,100_JUNGLE_avr_totalHeal,100_JUNGLE_avr_champLevel,100_JUNGLE_avr_magicDamageDealtToChampions,100_JUNGLE_avr_wardsPlaced,100_JUNGLE_avr_goldSpent,100_ADC_avr_goldEarned,100_ADC_avr_kill,100_ADC_avr_death,100_ADC_avr_assists,100_ADC_avr_trueDamageDealtToChampions,100_ADC_avr_damageDealtToTurrets,100_ADC_avr_goldSpent,100_ADC_avr_visionScore,100_ADC_avr_physicalDamageDealt,100_ADC_avr_totalHeal,100_ADC_avr_champLevel,100_ADC_avr_magicDamageDealtToChampions,100_ADC_avr_wardsPlaced,100_ADC_avr_goldSpent,100_SUPPORT_avr_goldEarned,100_SUPPORT_avr_kill,100_SUPPORT_avr_death,100_SUPPORT_avr_assists,100_SUPPORT_avr_trueDamageDealtToChampions,100_SUPPORT_avr_damageDealtToTurrets,100_SUPPORT_avr_goldSpent,100_SUPPORT_avr_visionScore,100_SUPPORT_avr_physicalDamageDealt,100_SUPPORT_avr_totalHeal,100_SUPPORT_avr_champLevel,100_SUPPORT_avr_magicDamageDealtToChampions,100_SUPPORT_avr_wardsPlaced,100_SUPPORT_avr_goldSpent,200_MIDDLE_avr_goldEarned,200_MIDDLE_avr_kill,200_MIDDLE_avr_death,200_MIDDLE_avr_assists,200_MIDDLE_avr_trueDamageDealtToChampions,200_MIDDLE_avr_damageDealtToTurrets,200_MIDDLE_avr_goldSpent,200_MIDDLE_avr_visionScore,200_MIDDLE_avr_physicalDamageDealt,200_MIDDLE_avr_totalHeal,200_MIDDLE_avr_champLevel,200_MIDDLE_avr_magicDamageDealtToChampions,200_MIDDLE_avr_wardsPlaced,200_MIDDLE_avr_goldSpent,200_TOP_avr_goldEarned,200_TOP_avr_kill,200_TOP_avr_death,200_TOP_avr_assists,200_TOP_avr_trueDamageDealtToChampions,200_TOP_avr_damageDealtToTurrets,200_TOP_avr_goldSpent,200_TOP_avr_visionScore,200_TOP_avr_physicalDamageDealt,200_TOP_avr_totalHeal,200_TOP_avr_champLevel,200_TOP_avr_magicDamageDealtToChampions,200_TOP_avr_wardsPlaced,200_TOP_avr_goldSpent,200_JUNGLE_avr_goldEarned,200_JUNGLE_avr_kill,200_JUNGLE_avr_death,200_JUNGLE_avr_assists,200_JUNGLE_avr_trueDamageDealtToChampions,200_JUNGLE_avr_damageDealtToTurrets,200_JUNGLE_avr_goldSpent,200_JUNGLE_avr_visionScore,200_JUNGLE_avr_physicalDamageDealt,200_JUNGLE_avr_totalHeal,200_JUNGLE_avr_champLevel,200_JUNGLE_avr_magicDamageDealtToChampions,200_JUNGLE_avr_wardsPlaced,200_JUNGLE_avr_goldSpent,200_ADC_avr_goldEarned,200_ADC_avr_kill,200_ADC_avr_death,200_ADC_avr_assists,200_ADC_avr_trueDamageDealtToChampions,200_ADC_avr_damageDealtToTurrets,200_ADC_avr_goldSpent,200_ADC_avr_visionScore,200_ADC_avr_physicalDamageDealt,200_ADC_avr_totalHeal,200_ADC_avr_champLevel,200_ADC_avr_magicDamageDealtToChampions,200_ADC_avr_wardsPlaced,200_ADC_avr_goldSpent,200_SUPPORT_avr_goldEarned,200_SUPPORT_avr_kill,200_SUPPORT_avr_death,200_SUPPORT_avr_assists,200_SUPPORT_avr_trueDamageDealtToChampions,200_SUPPORT_avr_damageDealtToTurrets,200_SUPPORT_avr_goldSpent,200_SUPPORT_avr_visionScore,200_SUPPORT_avr_physicalDamageDealt,200_SUPPORT_avr_totalHeal,200_SUPPORT_avr_champLevel,200_SUPPORT_avr_magicDamageDealtToChampions,200_SUPPORT_avr_wardsPlaced,200_SUPPORT_avr_goldSpent,win
0,12154,19,1,17,78,6003,10350,4,4,4542,13,20866,1,10350,11260,8,8,6,1987,2244,11350,20,20,5583,15,6938,11,11350,10003,9,3,11,589,1168,9750,17,17,5837,12,1463,9,9750,6290,5,2,8,136,112,4900,17,17,34,10,6834,12,4900,7607,9,1,18,392,712,7100,16,16,834,10,6687,9,7100,7077,4,12,1,444,0,5750,4,4,38,9,6085,3,5750,7414,4,10,1,100,763,6750,4,4,2646,10,7889,3,6750,4719,1,14,1,928,0,4450,9,9,3280,9,0,3,4450,3728,0,14,5,0,0,2500,8,8,3101,8,967,6,2500,5286,2,17,4,0,0,3800,5,5,2206,9,457,4,3800,0
1,5758,2,15,3,48,0,5900,8,8,0,10,7422,4,5900,7956,4,10,1,1230,0,8225,10,10,2832,11,844,6,8225,6641,3,10,2,428,0,6000,15,15,2431,10,4103,5,6000,3596,0,7,1,260,0,2485,4,4,281,8,2466,3,2485,3381,1,5,0,0,0,1720,4,4,370,6,1743,2,1720,13958,6,10,10,1613,3581,14000,20,20,22777,18,23411,11,14000,12504,7,4,11,5125,3118,12025,35,35,9265,15,12334,6,12025,10003,9,3,11,589,1168,9750,17,17,5837,12,1463,9,9750,9507,3,7,5,0,4262,9075,20,20,2173,13,4991,10,9075,7666,5,2,18,222,1683,7410,21,21,152,11,4597,11,7410,1
2,11047,12,2,7,192,2709,9000,10,10,0,14,21206,9,9000,20068,18,7,8,13788,10756,16600,17,17,22368,18,0,9,16600,12950,4,7,18,1355,2177,12650,40,40,14450,17,8405,10,12650,15299,3,9,14,13366,4321,15710,53,53,4498,17,7510,17,15710,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,14800,10,9,9,0,4344,13190,17,17,8504,17,26554,9,13190,12515,7,4,2,48,6110,11833,27,27,3151,16,3674,10,11833,12537,10,5,13,916,94,12025,17,17,44223,15,17199,4,12025,15039,10,12,15,4350,780,13975,24,24,11456,17,6445,8,13975,8714,4,3,22,722,0,9950,57,57,829,13,6373,28,9950,1
3,6699,5,1,0,345,1355,5875,8,8,1905,11,282,5,5875,6890,1,5,8,900,0,6750,63,63,845,13,7159,36,6750,11798,7,7,10,1032,0,11100,34,34,11199,15,3024,16,11100,13486,7,3,4,228,1508,13075,19,19,3630,15,2038,12,13075,9073,1,5,10,0,348,8250,23,23,5181,15,11355,10,8250,12103,5,5,2,1487,894,11525,23,23,4440,15,0,4,11525,14900,4,7,4,384,16555,12483,19,19,3511,17,4604,10,12483,15255,15,3,5,1617,4275,12650,32,32,11386,16,703,11,12650,12138,10,6,4,1951,5487,11975,16,16,4647,12,1215,7,11975,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,0
4,23996,15,8,13,5209,7516,23550,42,42,21996,18,804,15,23550,4661,3,0,0,0,516,3825,7,7,1012,10,1131,4,3825,15255,15,3,5,1617,4275,12650,32,32,11386,16,703,11,12650,11732,11,3,9,143,5641,11700,20,20,4144,12,1689,8,11700,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,18253,9,9,13,373,1459,17675,39,39,17689,18,33046,18,17675,12476,4,7,18,1285,4497,10700,24,24,9589,17,7122,11,10700,10611,7,0,10,395,705,9525,33,33,15481,15,13741,2,9525,8831,0,6,6,0,1604,8325,20,20,0,13,712,10,8325,11986,0,10,35,1493,1255,11365,141,141,2572,18,9743,73,11365,1
5,10416.0,9.0,3.0,7.0,476.0,1291.0,10210.0,20.0,20.0,2634.0,14.0,10030.0,11.0,10210.0,7931.0,3.0,6.0,12.0,0.0,0.0,7650.0,63.0,63.0,287.0,12.0,9658.0,30.0,7650.0,8780.0,2.0,7.0,6.0,873.0,0.0,8000.0,20.0,20.0,11526.0,14.0,3986.0,6.0,8000.0,12440.0,7.0,7.0,11.0,340.0,7352.0,9750.0,30.0,30.0,4959.0,14.0,3094.0,11.0,9750.0,10384.0,5.0,8.0,7.0,1388.0,1471.0,10500.0,28.0,28.0,1829.0,16.0,17304.0,11.0,10500.0,,,,,,,,,,,,,,,14137.0,8.0,5.0,11.0,112.0,6470.0,12225.0,34.0,34.0,9640.0,17.0,2450.0,12.0,12225.0,5163.0,2.0,7.0,1.0,459.0,0.0,4150.0,6.0,6.0,4063.0,8.0,1746.0,3.0,4150.0,4711.0,2.0,7.0,2.0,0.0,0.0,4195.0,12.0,12.0,1314.0,8.0,0.0,4.0,4195.0,14049.0,9.0,6.0,8.0,242.0,582.0,12775.0,17.0,17.0,5196.0,16.0,5811.0,8.0,12775.0,0.0
6,10480,5,4,7,1493,371,10250,36,36,1450,15,14659,16,10250,12261,5,11,2,56,6089,12275,19,19,3470,15,6800,10,12275,5364,3,8,1,399,0,4225,4,4,3284,8,826,6,4225,11732,11,3,9,143,5641,11700,20,20,4144,12,1689,8,11700,7087,4,2,15,2274,1128,5675,43,43,533,11,910,20,5675,14162,9,5,11,100,4645,14275,16,16,6694,16,27994,9,14275,13530,11,7,12,99,1107,12775,23,23,10556,16,2600,11,12775,12365,4,2,12,941,1413,11350,38,38,20571,17,6662,3,11350,10120,5,7,12,370,4029,9650,25,25,1114,14,448,10,9650,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,0
7,9994,9,2,2,768,772,8358,14,14,5610,14,4953,8,8358,10278,4,2,6,0,5911,9850,12,12,1343,15,2847,7,9850,14433,12,9,7,7158,2291,13475,33,33,17292,16,0,5,13475,9080,3,2,9,100,8024,8150,8,8,443,10,0,3,8150,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,4814,2,4,2,180,443,4725,9,9,442,10,281,6,4725,7708,1,4,4,0,2666,7383,15,15,2711,14,2954,7,7383,5364,3,8,1,399,0,4225,4,4,3284,8,826,6,4225,11440,8,4,4,295,3896,9750,25,25,594,13,608,12,9750,8245,0,4,10,0,510,7825,85,85,2450,13,3442,37,7825,1
8,17589,12,3,6,2335,9217,14625,32,32,1702,17,11828,9,14625,10128,6,2,7,194,2925,9475,28,28,2899,14,8652,14,9475,7325,4,7,4,752,0,6050,14,14,9107,11,376,7,6050,11928,4,10,4,2001,873,10825,17,17,833,16,2475,1,10825,8245,0,4,10,0,510,7825,85,85,2450,13,3442,37,7825,8949,2,4,6,2577,3171,8683,19,19,1266,14,296,10,8683,7433,0,6,4,2946,0,7350,33,33,929,14,295,10,7350,9228,4,5,7,482,45,8125,29,29,10467,13,6842,5,8125,19128,18,9,4,4445,5703,18250,31,31,3280,17,2128,12,18250,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,1
9,11088,8,6,8,994,1050,10400,12,12,3080,14,542,10,10400,9910,2,11,4,0,2018,9783,19,19,4385,14,4931,11,9783,9814,5,3,7,3148,1308,8785,30,30,12386,14,0,6,8785,19128,18,9,4,4445,5703,18250,31,31,3280,17,2128,12,18250,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,8949,2,4,6,2577,3171,8683,19,19,1266,14,296,10,8683,10602,5,5,6,102,0,10075,19,19,2751,15,40,9,10075,7325,4,7,4,752,0,6050,14,14,9107,11,376,7,6050,8879,2,7,5,217,0,8685,11,11,1133,13,13023,9,8685,5912,1,5,7,524,0,5625,57,57,5064,11,3728,27,5625,1
