,100_MIDDLE_aggressive,100_MIDDLE_teamplayer,100_MIDDLE_leader,100_MIDDLE_resilient,100_TOP_aggressive,100_TOP_teamplayer,100_TOP_leader,100_TOP_resilient,100_JUNGLE_aggressive,100_JUNGLE_teamplayer,100_JUNGLE_leader,100_JUNGLE_resilient,100_ADC_aggressive,100_ADC_teamplayer,100_ADC_leader,100_ADC_resilient,100_SUPPORT_aggressive,100_SUPPORT_teamplayer,100_SUPPORT_leader,100_SUPPORT_resilient,200_MIDDLE_aggressive,200_MIDDLE_teamplayer,200_MIDDLE_leader,200_MIDDLE_resilient,200_TOP_aggressive,200_TOP_teamplayer,200_TOP_leader,200_TOP_resilient,200_JUNGLE_aggressive,200_JUNGLE_teamplayer,200_JUNGLE_leader,200_JUNGLE_resilient,200_ADC_aggressive,200_ADC_teamplayer,200_ADC_leader,200_ADC_resilient,200_SUPPORT_aggressive,200_SUPPORT_teamplayer,200_SUPPORT_leader,200_SUPPORT_resilient,win
0,False,False,False,False,False,True,True,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,0
1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,True,False,False,False,False,1
2,False,True,True,True,False,False,False,True,False,True,True,True,True,True,False,True,False,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,1
3,True,False,False,False,False,True,True,True,True,True,True,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,True,True,False,True,True,True,False,False,False,True,False,True,True,True,0
4,False,True,True,True,True,True,False,True,False,True,True,True,False,True,True,True,False,True,True,True,False,True,False,True,False,True,False,True,True,True,False,True,True,True,True,True,False,True,True,True,1
5,False,False,False,False,False,True,True,True,False,False,False,True,False,False,False,False,True,True,True,True,,,,,True,True,True,True,False,True,True,False,False,True,True,True,False,False,False,True,0
6,False,True,False,True,True,False,False,True,True,False,False,False,False,True,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,True,True,False,False,False,True,True,True,0
7,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1
8,False,True,True,True,False,True,False,True,False,True,True,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,True,True,True,False,True,True,True,1
9,False,True,True,True,False,False,False,True,False,True,False,True,True,True,True,True,False,True,True,True,False,True,False,True,False,False,False,True,False,True,True,True,False,True,False,True,False,True,False,False,1
10,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,True,False,True,False,True,True,True,False,True,False,True,False,True,True,True,1
11,False,False,False,True,True,False,False,True,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,1
12,False,False,False,True,False,False,False,False,False,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,False,True,False,True,False,True,True,False,False,True,True,False,False,True,True,True,0
13,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,True,1
14,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,True,True,True,False,True,1
15,False,False,False,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,True,True,True,False,True,False,True,False,True,True,True,0
16,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,True,True,1
17,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,True,True,False,False,True,True,False,False,True,False,True,True,True,True,True,False,False,False,False,False,True,True,True,0
18,False,False,False,False,False,True,True,True,False,True,True,False,False,True,True,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,1
19,False,True,True,True,False,False,False,True,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,True,1
20,True,True,False,True,False,False,False,False,False,False,False,True,True,True,False,True,False,True,True,True,False,False,False,True,True,False,False,True,False,True,True,True,True,True,True,True,False,True,False,True,1
21,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,1
22,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,1
23,False,True,True,True,True,False,False,True,False,True,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,True,True,0
24,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,1
25,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,True,True,True,0
26,True,True,True,True,False,True,False,False,True,True,False,True,False,True,True,True,False,True,True,True,True,False,False,True,False,False,False,True,True,True,False,True,False,False,False,True,True,True,True,True,1
27,False,True,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,True,True,True,False,False,False,False,True,True,False,True,False,True,True,True,False,True,True,True,True,True,True,True,1
28,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,True,False,True,True,False,False,False,False,True,False,True,True,True,1
29,False,True,False,True,False,False,False,False,True,True,True,True,False,True,True,True,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,True,True,True,False,True,False,True,True,True,1
30,True,False,False,False,False,True,True,False,True,False,False,False,False,True,False,True,False,True,False,False,,,,,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,0
31,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,1
32,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,False,False,1
33,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,True,True,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,True,False,True,True,True,0
34,True,False,False,False,False,True,False,False,False,True,True,True,False,True,False,True,False,True,True,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,1
35,True,False,False,True,True,False,False,False,False,False,False,True,True,True,True,True,False,True,True,True,,,,,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,True,1
36,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,True,True,True,False,False,False,True,False,True,False,True,False,True,True,True,True,True,True,True,False,True,True,False,0
37,False,False,False,True,True,False,False,False,False,True,False,True,True,True,True,False,False,True,True,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,True,True,0
38,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,,,,,False,False,False,False,False,True,True,False,False,True,True,True,False,True,False,False,0
39,False,False,False,False,True,False,False,False,False,True,True,True,False,True,False,False,False,True,True,False,False,False,False,False,True,True,False,True,True,True,True,True,False,False,False,False,False,True,True,True,1
40,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,True,False,True,True,True,False,False,False,False,False,True,True,True,False,True,True,False,False,False,False,False,True,True,True,True,1
41,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,0
42,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,1
43,,,,,False,False,False,False,False,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,False,True,False,False,False,True,False,False,False,True,True,True,False,True,True,True,0
44,False,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,False,True,False,True,True,False,False,True,False,False,False,True,False,True,False,True,True,False,False,True,True,True,False,True,1
45,False,True,True,False,True,False,False,True,False,False,False,False,True,True,True,False,False,True,True,True,False,True,False,True,False,False,False,True,False,True,True,True,False,True,True,False,True,True,True,True,0
46,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,True,True,True,False,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,1
47,False,True,True,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1
48,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,0
49,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,0
50,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,True,True,False,True,True,True,0
51,False,True,False,True,True,False,False,True,False,True,True,True,False,True,True,True,False,True,True,True,True,True,False,True,True,False,False,True,True,True,False,True,False,False,False,False,False,True,True,True,1
52,False,True,True,True,True,False,False,True,False,False,False,True,False,True,True,True,False,True,True,True,False,True,False,False,True,True,True,True,False,True,True,True,False,False,False,True,False,True,True,True,0
53,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,False,True,True,True,False,False,False,False,False,False,False,False,,,,,,,,,0
54,False,True,True,True,False,True,False,True,True,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,False,True,False,True,False,True,True,True,False,False,False,True,False,True,True,True,0
55,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,True,0
56,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,True,False,True,False,True,False,True,True,True,False,False,False,True,False,True,True,True,0
57,True,False,False,True,True,False,False,True,True,True,False,False,False,False,False,True,True,True,False,True,False,False,False,True,False,True,True,True,True,False,False,True,False,False,False,True,False,True,True,True,0
58,False,True,True,True,True,False,False,True,True,True,True,True,False,True,True,True,False,True,True,True,False,False,False,True,False,True,True,True,False,True,True,True,False,False,False,True,False,True,True,True,1
59,False,False,False,True,True,False,False,False,True,False,False,False,False,True,True,True,False,True,True,False,False,False,False,True,True,True,False,False,True,True,False,True,False,False,False,True,False,True,True,True,1
60,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,1
61,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False,True,True,True,False,False,False,True,False,True,True,True,1
62,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,True,True,0
63,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,True,1
64,False,False,False,True,False,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,False,True,False,True,False,True,True,True,False,True,False,True,False,True,True,True,False,True,True,True,1
65,False,False,False,False,False,True,True,True,True,False,False,False,True,False,False,True,False,True,True,True,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,1
66,False,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,True,0
67,False,True,True,True,True,True,False,True,True,False,False,True,False,True,True,True,False,True,True,True,False,True,False,True,False,False,False,True,True,True,True,True,False,True,False,True,True,True,False,True,1
68,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,True,True,True,False,True,True,True,True,False,False,True,True,True,False,True,False,True,True,True,False,True,True,True,0
69,False,True,True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,False,True,True,True,0
70,False,True,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,0
